Intitule du poste,Description,Niveau d'etudes,Description,Niveau d'etudes
Ingenieur en technologies emergentes,Responsable de la recherche et du developpement des technologies naissantes et potentiellement revolutionnaires.,Master en ingenierie ou technologie
Specialiste en UX research,Etudie et evalue comment les utilisateurs ressentent un systeme, en prenant en compte la facilite d'utilisation, la perception de la valeur, l'utilite et l'efficacite du systeme.,Master en design ou psychologie
Ingenieur en applications de sante,Developpe et maintient des applications destinees au domaine medical et de la sante.,Master en informatique ou ingenierie biomedicale
Analyste en intelligence economique,Recueille, analyse et interprete des informations sur l'environnement economique pour aider a la prise de decision.,Master en economie ou en administration des affaires
Specialiste en infrastructure hybride,Concoit et gere des solutions combinant des ressources informatiques sur site et en cloud.,Master en informatique ou en reseau
Charge des relations publiques en TI,Gere la communication et l'image de l'entreprise dans le domaine des technologies de l'information.,Licence en communication ou relations publiques
Ingenieur en solutions de commerce,Developpe des solutions pour optimiser et numeriser les operations commerciales des entreprises.,Master en informatique ou commerce
Consultant en solutions Cloud natives,Conseille sur le developpement et la mise en oeuvre de solutions concues specifiquement pour les environnements cloud.,Master en informatique ou technologie cloud
Ingenieur en haptique,Specialise dans le developpement de technologies permettant la sensation tactile dans des environnements numeriques.,Master en ingenierie electronique
Specialiste en chatbots,Concoit et developpe des programmes de chat automatises pour interagir avec les utilisateurs.,Master en informatique ou intelligence artificielle
Directeur de produits numeriques,Gere le developpement, le lancement et la maintenance de produits numeriques.,Master en gestion de produit ou MBA
Technicien en recuperation de donnees,Specialise dans la recuperation de donnees a partir de dispositifs endommages ou corrompus.,Licence en informatique ou technologies de l'information
Analyste en logiciels de CRM avances,Analyse et optimise l'utilisation de logiciels de gestion de la relation client.,Licence en informatique ou marketing
Ingenieur en controle automatique,Concoit des systemes automatises pour controler differents processus.,Master en ingenierie automatique
Specialiste en logiciels de CAO,Expert dans l'utilisation de logiciels de conception assistee par ordinateur pour creer des modeles numeriques.,Licence en design ou ingenierie
Ingenieur en solutions de gestion d'energie,Concoit des solutions pour surveiller, controler et optimiser la consommation d'energie.,Master en ingenierie energetique
Chef de projet en R&D,Dirige des projets de recherche et developpement pour innover dans le secteur technologique.,Master en gestion de projet ou ingenierie
Ingenieur en technologie quantique,Travaille sur la mise en oeuvre et l'application de la mecanique quantique dans la technologie.,Doctorat en physique quantique
Charge d'etudes en TI,Analyse des donnees et realise des etudes pour informer les decisions strategiques dans le domaine de la technologie.,Licence en informatique ou administration des affaires
Specialiste en gamification,Utilise les elements de conception de jeux pour ameliorer l'engagement utilisateur et l'apprentissage.,Master en design de jeux ou psychologie
Ingenieur en logiciels de gestion de la chaine logistique,Developpe des logiciels pour optimiser et surveiller la chaine d'approvisionnement.,Master en ingenierie logistique ou informatique
Consultant en digital analytics,Aide les entreprises a mesurer, collecter et analyser les donnees web pour ameliorer leur presence en ligne.,Master en marketing digital ou statistiques
Ingenieur en logiciels d'analyse financiere,Concoit des outils logiciels pour aider a l'analyse financiere et a la prise de decision.,Master en finance ou informatique
Technicien en impression 3D,Opere et entretient des imprimantes 3D pour la creation de prototypes et de produits.,Licence en ingenierie ou design
Ingenieur en solutions de transport intelligent,Developpe des solutions technologiques pour ameliorer l'efficacite et la securite des systemes de transport.,Master en ingenierie des transports
Consultant en transition Cloud,Conseille les entreprises sur la migration de leurs donnees et applications vers le cloud.,Master en informatique ou gestion de projet
Ingenieur en controle de processus,Surveille et ameliore les processus industriels a l'aide de la technologie.,Master en ingenierie industrielle
Specialiste en visualisation de donnees,Transforme les donnees complexes en visuels comprehensibles et informatifs.,Master en design d'information ou statistiques
Ingenieur en solutions pour villes intelligentes,Concoit des technologies pour ameliorer l'efficacite et la qualite de vie dans les villes.,Master en urbanisme ou ingenierie
Technicien en equipement reseau,Installe, configure et entretient les equipements de reseau pour assurer une connectivite fiable.,Licence en reseaux ou technologie de l'information
Ingenieur en logiciels de ressources humaines,Developpe des outils logiciels pour faciliter la gestion des ressources humaines.,Master en RH ou informatique
Analyste en marketing d'affiliation,Optimise les campagnes de marketing d'affiliation pour maximiser le retour sur investissement.,Licence en marketing ou commerce
Ingenieur en technologie spatiale,Travaille sur la technologie utilisee dans l'exploration et l'utilisation de l'espace.,Doctorat en ingenierie aerospatiale
Charge de l'engagement client en TI,Gere les strategies pour ameliorer l'engagement client dans le domaine des technologies de l'information.,Licence en marketing ou communication
Ingenieur en logiciels de fabrication,Concoit des logiciels pour automatiser et optimiser les processus de fabrication.,Master en ingenierie manufacturiere
Ingenieur en intelligence artificielle,Developpe et implemente des systemes bases sur l'intelligence artificielle pour resoudre des problemes complexes.,Master ou Doctorat en intelligence artificielle ou informatique
Directeur de strategie digitale,Elabore et supervise la strategie digitale d'une entreprise pour ameliorer sa presence en ligne.,Master en marketing digital ou MBA
Ingenieur en realite augmentee,Cree des experiences immersives combinant le monde reel avec des elements numeriques via des logiciels et du materiel specialise.,Master en informatique ou design interactif
Technicien en cybersecurite,Protege les systemes informatiques contre les menaces, attaques et violations de securite.,Licence en cybersecurite ou technologies de l'information
Consultant en transformation digitale,Conseille les entreprises sur la maniere d'integrer les technologies numeriques pour ameliorer leurs operations.,Master en management ou technologies de l'information
Analyste en big data,Analyse de grands ensembles de donnees pour obtenir des informations exploitables et aider a la prise de decision.,Master en data science ou statistiques
Ingenieur en solutions IoT,Developpe et deploie des solutions basees sur l'Internet des objets pour connecter des dispositifs et collecter des donnees.,Master en ingenierie electronique ou informatique
Manager e-commerce,Supervise les operations et strategies des plateformes de commerce electronique d'une entreprise.,Master en commerce electronique ou MBA
Ingenieur en robotique,Concoit, construit et teste des robots pour diverses applications.,Master ou Doctorat en robotique ou mecatronique
Specialiste en marketing mobile,Elabore et met en oeuvre des campagnes marketing ciblees pour les utilisateurs mobiles.,Master en marketing digital
Ingenieur en systemes embarques,Developpe des logiciels et des systemes pour des appareils avec un but specifique.,Master en informatique ou electronique
Directeur de contenu numerique,Gere la creation, la publication et la strategie du contenu digital pour une organisation.,Master en communication ou journalisme
Technicien en support blockchain,Fournit une assistance technique pour les solutions basees sur la technologie blockchain.,Licence en informatique ou finance
Analyste en machine learning,Developpe des modeles d'apprentissage automatique pour analyser les donnees et prevoir des tendances.,Master ou Doctorat en intelligence artificielle ou statistiques
Ingenieur en systemes quantiques,Concoit et developpe des systemes bases sur les principes de la mecanique quantique.,Doctorat en physique ou informatique quantique
Consultant en experience utilisateur (UX),Aide les entreprises a ameliorer l'experience globale des utilisateurs sur leurs plateformes digitales.,Master en design d'interaction ou psychologie
Analyste en optimisation des moteurs de recherche (SEO),Optimise le contenu en ligne pour ameliorer la visibilite sur les moteurs de recherche.,Licence en marketing digital
Ingenieur en developpement durable,Concoit des solutions technologiques respectueuses de l'environnement et economiquement viables.,Master en ingenierie environnementale ou developpement durable
Specialiste en publicite programmatique,Gere et optimise l'achat d'espace publicitaire en temps reel via des plateformes automatisees.,Master en marketing digital
Ingenieur en bio-informatique,Utilise les logiciels et les methodes mathematiques pour traiter et analyser les donnees biologiques.,Master ou Doctorat en bio-informatique
Responsable de la strategie de contenu,Elabore et supervise la strategie de contenu pour atteindre les objectifs de l'entreprise en matiere de marketing et de communication.,Master en communication ou marketing
Technicien en realite virtuelle,Cree et adapte des contenus pour les environnements de realite virtuelle.,Licence en design interactif ou informatique
Analyste en medias sociaux,Etudie les donnees des medias sociaux pour elaborer des strategies de contenu et de marketing.,Licence en marketing digital ou communication
Ingenieur en solutions mobiles,Developpe et optimise des applications et solutions pour appareils mobiles.,Master en developpement mobile ou informatique
Manager en fintech,Supervise les operations et les strategies d'une entreprise technologique dans le domaine financier.,Master en finance ou MBA
Ingenieur en nanotechnologie,Travaille sur la conception et la creation de materiaux et dispositifs a l'echelle nanometrique.,Doctorat en physique ou chimie
Consultant en accessibilite web,Aide les entreprises a rendre leurs sites web accessibles a toutes les personnes, y compris celles ayant des handicaps.,Licence en design web ou ergonomie
Analyste en genetique computationnelle,Utilise des outils informatiques pour analyser et interpreter des donnees genetiques.,Doctorat en genetique ou bio-informatique
Ingenieur en energies renouvelables,Developpe et optimise des technologies pour produire de l'energie a partir de sources renouvelables.,Master en ingenierie energetique
Directeur de medias numeriques,Gere les operations et la strategie des medias numeriques, incluant le streaming, les podcasts et les videos.,Master en communication ou marketing digital
Technicien en drones,Opere et entretient des drones pour diverses applications, de la photographie a la surveillance.,Licence en aviation ou electronique
Analyste en realite mixte,Developpe des experiences combinant realite virtuelle et realite augmentee.,Master en design interactif ou informatique
Ingenieur en biotechnologies,Concoit et developpe des technologies pour des applications medicales et agricoles basees sur les systemes biologiques.,Doctorat en biotechnologie
Specialiste en marketing d'influence,Elabore des strategies pour collaborer avec des influenceurs afin de promouvoir une marque ou un produit.,Licence en marketing ou communication
Ingenieur en acoustique digitale,Developpe des technologies pour la creation, la modification et la reproduction du son.,Master en ingenierie acoustique
Directeur de plateforme SaaS,Supervise le developpement, la maintenance et la strategie d'une plateforme en tant que service.,Master en gestion de projet ou MBA
Technicien en realite etendue (XR),Cree des experiences immersives combinant differents types de realites, de la VR a la RA.,Licence en design interactif ou informatique
Analyste en commerce vocal,Etudie et developpe des strategies pour le commerce via des assistants vocaux comme Alexa ou Google Assistant.,Licence en marketing digital
Ingenieur en agriculture digitale,Utilise la technologie pour ameliorer la productivite et la durabilite des systemes agricoles.,Master en agronomie ou technologies de l'information
Chef de projet en e-sport,Gere et supervise les initiatives liees aux sports electroniques, des tournois aux equipes.,Licence en management du sport ou communication
Ingenieur en neurotechnologie,Developpe des technologies basees sur la comprehension et la manipulation du systeme nerveux.,Doctorat en neurosciences ou bio-ingenierie
